"","Municipio","Ciclos_Presentes","Data_Plantio","Prob_Sucesso","Prob_fracasso","Qtd_El_Nino","Qtd_La_Nina","Qtd_Neutro","P_Suc_El_Nino","P_Suc_La_Nina","P_Suc_Neutro","M̩dia_Ponderada"
"1","AGUA FRIA DE GOIAS",57,"01-09",1,0,13,13,31,1,1,1,1
"2","AGUA FRIA DE GOIAS",56,"11-09",0.98,0.02,12,13,32,1,1,0.97,0.98
"3","AGUA FRIA DE GOIAS",54,"21-09",0.95,0.05,13,14,30,0.92,1,0.93,0.94
"4","AGUA FRIA DE GOIAS",53,"01-10",0.93,0.07,12,15,30,0.83,1,0.93,0.93
"5","AGUA FRIA DE GOIAS",51,"11-10",0.89,0.11,12,17,28,0.92,0.94,0.86,0.9
"6","AGUA FRIA DE GOIAS",51,"21-10",0.89,0.11,13,16,28,0.92,0.94,0.86,0.9
"7","AGUA FRIA DE GOIAS",50,"01-11",0.88,0.12,13,15,29,0.92,0.93,0.83,0.88
"8","AGUA FRIA DE GOIAS",51,"11-11",0.89,0.11,11,16,30,0.91,1,0.83,0.89
"9","AGUA FRIA DE GOIAS",52,"21-11",0.91,0.09,10,16,31,0.9,1,0.87,0.91
"10","ARUANA",57,"01-09",1,0,15,14,28,1,1,1,1
"11","ARUANA",57,"11-09",1,0,14,13,30,1,1,1,1
"12","ARUANA",57,"21-09",1,0,14,15,28,1,1,1,1
"13","ARUANA",57,"01-10",1,0,12,18,27,1,1,1,1
"14","ARUANA",57,"11-10",1,0,14,14,29,1,1,1,1
"15","ARUANA",57,"21-10",1,0,12,13,32,1,1,1,1
"16","ARUANA",57,"01-11",1,0,13,13,31,1,1,1,1
"17","ARUANA",57,"11-11",1,0,12,14,31,1,1,1,1
"18","ARUANA",57,"21-11",1,0,14,15,28,1,1,1,1
"19","BARRO ALTO",57,"01-09",1,0,14,13,30,1,1,1,1
"20","BARRO ALTO",57,"11-09",1,0,15,14,28,1,1,1,1
"21","BARRO ALTO",57,"21-09",1,0,12,17,28,1,1,1,1
"22","BARRO ALTO",57,"01-10",1,0,14,14,29,1,1,1,1
"23","BARRO ALTO",57,"11-10",1,0,14,13,30,1,1,1,1
"24","BARRO ALTO",57,"21-10",1,0,15,14,28,1,1,1,1
"25","BARRO ALTO",57,"01-11",1,0,12,14,31,1,1,1,1
"26","BARRO ALTO",57,"11-11",1,0,13,15,29,1,1,1,1
"27","BARRO ALTO",57,"21-11",1,0,14,12,31,1,1,1,1
"28","CAIAPONIA",57,"01-09",1,0,14,14,29,1,1,1,1
"29","CAIAPONIA",57,"11-09",1,0,12,16,29,1,1,1,1
"30","CAIAPONIA",56,"21-09",0.98,0.02,15,16,26,1,1,0.96,0.98
"31","CAIAPONIA",53,"01-10",0.93,0.07,13,14,30,0.92,1,0.9,0.93
"32","CAIAPONIA",50,"11-10",0.88,0.12,13,14,30,0.92,0.93,0.83,0.88
"33","CAIAPONIA",51,"21-10",0.89,0.11,12,13,32,0.92,0.92,0.88,0.9
"34","CAIAPONIA",52,"01-11",0.91,0.09,13,13,31,0.92,0.92,0.9,0.91
"35","CAIAPONIA",56,"11-11",0.98,0.02,14,11,32,1,1,0.97,0.98
"36","CAIAPONIA",56,"21-11",0.98,0.02,10,13,34,1,1,0.97,0.98
"37","CACU",57,"01-09",1,0,14,13,30,1,1,1,1
"38","CACU",57,"11-09",1,0,14,15,28,1,1,1,1
"39","CACU",56,"21-09",0.98,0.02,13,15,29,1,0.93,1,0.98
"40","CACU",54,"01-10",0.95,0.05,11,13,33,0.91,0.92,0.97,0.95
"41","CACU",51,"11-10",0.89,0.11,13,15,29,0.92,0.93,0.86,0.89
"42","CACU",52,"21-10",0.91,0.09,12,15,30,0.92,0.93,0.9,0.91
"43","CACU",54,"01-11",0.95,0.05,15,15,27,0.93,0.93,0.96,0.94
"44","CACU",55,"11-11",0.96,0.04,13,14,30,0.92,0.93,1,0.96
"45","CACU",56,"21-11",0.98,0.02,13,13,31,1,0.92,1,0.98
"46","CAMPO ALEGRE DE GOIAS",51,"01-09",0.89,0.11,13,15,29,0.77,1,0.9,0.9
"47","CAMPO ALEGRE DE GOIAS",47,"11-09",0.82,0.18,15,18,24,0.73,0.94,0.79,0.82
"48","CAMPO ALEGRE DE GOIAS",43,"21-09",0.75,0.25,12,15,30,0.67,0.87,0.73,0.75
"49","CAMPO ALEGRE DE GOIAS",35,"01-10",0.61,0.39,11,13,33,0.64,0.62,0.61,0.62
"50","CAMPO ALEGRE DE GOIAS",34,"11-10",0.6,0.4,15,15,27,0.6,0.73,0.52,0.6
"51","CAMPO ALEGRE DE GOIAS",33,"21-10",0.58,0.42,12,12,33,0.58,0.67,0.55,0.58
"52","CAMPO ALEGRE DE GOIAS",35,"01-11",0.61,0.39,14,16,27,0.64,0.75,0.52,0.61
"53","CAMPO ALEGRE DE GOIAS",37,"11-11",0.65,0.35,9,15,33,0.44,0.73,0.67,0.65
"54","CAMPO ALEGRE DE GOIAS",40,"21-11",0.7,0.3,15,15,27,0.6,0.73,0.74,0.7
"55","EDEALINA",57,"01-09",1,0,16,13,28,1,1,1,1
"56","EDEALINA",57,"11-09",1,0,15,15,27,1,1,1,1
"57","EDEALINA",57,"21-09",1,0,13,18,26,1,1,1,1
"58","EDEALINA",57,"01-10",1,0,14,14,29,1,1,1,1
"59","EDEALINA",57,"11-10",1,0,13,13,31,1,1,1,1
"60","EDEALINA",57,"21-10",1,0,15,14,28,1,1,1,1
"61","EDEALINA",57,"01-11",1,0,12,16,29,1,1,1,1
"62","EDEALINA",57,"11-11",1,0,13,15,29,1,1,1,1
"63","EDEALINA",57,"21-11",1,0,13,13,31,1,1,1,1
"64","EDEIA",57,"01-09",1,0,14,14,29,1,1,1,1
"65","EDEIA",57,"11-09",1,0,13,17,27,1,1,1,1
"66","EDEIA",57,"21-09",1,0,13,14,30,1,1,1,1
"67","EDEIA",57,"01-10",1,0,13,13,31,1,1,1,1
"68","EDEIA",57,"11-10",1,0,15,14,28,1,1,1,1
"69","EDEIA",57,"21-10",1,0,12,16,29,1,1,1,1
"70","EDEIA",57,"01-11",1,0,14,15,28,1,1,1,1
"71","EDEIA",57,"11-11",1,0,12,13,32,1,1,1,1
"72","EDEIA",57,"21-11",1,0,15,12,30,1,1,1,1
"73","GOIANESIA",57,"01-09",1,0,12,16,29,1,1,1,1
"74","GOIANESIA",57,"11-09",1,0,16,16,25,1,1,1,1
"75","GOIANESIA",56,"21-09",0.98,0.02,14,14,29,0.93,1,1,0.98
"76","GOIANESIA",56,"01-10",0.98,0.02,14,14,29,0.93,1,1,0.98
"77","GOIANESIA",56,"11-10",0.98,0.02,14,14,29,0.93,1,1,0.98
"78","GOIANESIA",56,"21-10",0.98,0.02,14,13,30,0.93,1,1,0.98
"79","GOIANESIA",56,"01-11",0.98,0.02,14,15,28,0.93,1,1,0.98
"80","GOIANESIA",56,"11-11",0.98,0.02,15,16,26,0.93,1,1,0.98
"81","GOIANESIA",57,"21-11",1,0,13,14,30,1,1,1,1
"82","IACIARA",57,"01-09",1,0,14,15,28,1,1,1,1
"83","IACIARA",57,"11-09",1,0,13,18,26,1,1,1,1
"84","IACIARA",57,"21-09",1,0,15,15,27,1,1,1,1
"85","IACIARA",57,"01-10",1,0,15,13,29,1,1,1,1
"86","IACIARA",57,"11-10",1,0,14,15,28,1,1,1,1
"87","IACIARA",57,"21-10",1,0,12,18,27,1,1,1,1
"88","IACIARA",57,"01-11",1,0,14,16,27,1,1,1,1
"89","IACIARA",57,"11-11",1,0,12,13,32,1,1,1,1
"90","IACIARA",57,"21-11",1,0,13,14,30,1,1,1,1
"91","INDIARA",57,"01-09",1,0,13,17,27,1,1,1,1
"92","INDIARA",57,"11-09",1,0,14,14,29,1,1,1,1
"93","INDIARA",57,"21-09",1,0,14,13,30,1,1,1,1
"94","INDIARA",57,"01-10",1,0,15,14,28,1,1,1,1
"95","INDIARA",56,"11-10",0.98,0.02,15,15,27,0.93,1,1,0.98
"96","INDIARA",56,"21-10",0.98,0.02,15,15,27,0.93,1,1,0.98
"97","INDIARA",56,"01-11",0.98,0.02,14,14,29,0.93,1,1,0.98
"98","INDIARA",57,"11-11",1,0,12,14,31,1,1,1,1
"99","INDIARA",57,"21-11",1,0,12,15,30,1,1,1,1
"100","JOVIANIA",57,"01-09",1,0,14,13,30,1,1,1,1
"101","JOVIANIA",57,"11-09",1,0,15,14,28,1,1,1,1
"102","JOVIANIA",57,"21-09",1,0,13,16,28,1,1,1,1
"103","JOVIANIA",55,"01-10",0.96,0.04,15,15,27,0.93,1,0.96,0.96
"104","JOVIANIA",55,"11-10",0.96,0.04,14,13,30,0.93,1,0.97,0.97
"105","JOVIANIA",53,"21-10",0.93,0.07,12,14,31,0.92,1,0.9,0.93
"106","JOVIANIA",56,"01-11",0.98,0.02,14,12,31,1,1,0.97,0.98
"107","JOVIANIA",57,"11-11",1,0,13,15,29,1,1,1,1
"108","JOVIANIA",57,"21-11",1,0,14,15,28,1,1,1,1
"109","MONTIVIDIU",54,"01-09",0.95,0.05,15,14,28,0.93,1,0.93,0.95
"110","MONTIVIDIU",53,"11-09",0.93,0.07,12,16,29,0.92,1,0.9,0.93
"111","MONTIVIDIU",48,"21-09",0.84,0.16,12,14,31,0.92,1,0.74,0.84
"112","MONTIVIDIU",38,"01-10",0.67,0.33,11,13,33,0.82,0.62,0.64,0.67
"113","MONTIVIDIU",37,"11-10",0.65,0.35,14,14,29,0.71,0.64,0.62,0.65
"114","MONTIVIDIU",34,"21-10",0.6,0.4,12,12,33,0.67,0.75,0.52,0.6
"115","MONTIVIDIU",40,"01-11",0.7,0.3,10,12,35,0.6,0.83,0.69,0.7
"116","MONTIVIDIU",44,"11-11",0.77,0.23,11,14,32,0.73,0.93,0.72,0.77
"117","MONTIVIDIU",49,"21-11",0.86,0.14,14,13,30,0.86,0.92,0.83,0.86
"118","ORIZONA",57,"01-09",1,0,15,14,28,1,1,1,1
"119","ORIZONA",57,"11-09",1,0,13,18,26,1,1,1,1
"120","ORIZONA",54,"21-09",0.95,0.05,15,13,29,0.93,1,0.93,0.95
"121","ORIZONA",52,"01-10",0.91,0.09,14,14,29,0.93,1,0.86,0.91
"122","ORIZONA",50,"11-10",0.88,0.12,13,17,27,0.92,0.94,0.81,0.87
"123","ORIZONA",50,"21-10",0.88,0.12,12,14,31,0.92,0.93,0.84,0.88
"124","ORIZONA",50,"01-11",0.88,0.12,14,16,27,0.86,0.94,0.85,0.88
"125","ORIZONA",53,"11-11",0.93,0.07,11,14,32,0.91,1,0.91,0.93
"126","ORIZONA",53,"21-11",0.93,0.07,15,14,28,0.93,1,0.89,0.93
"127","PADRE BERNARDO",57,"01-09",1,0,15,14,28,1,1,1,1
"128","PADRE BERNARDO",57,"11-09",1,0,13,17,27,1,1,1,1
"129","PADRE BERNARDO",57,"21-09",1,0,15,14,28,1,1,1,1
"130","PADRE BERNARDO",57,"01-10",1,0,14,13,30,1,1,1,1
"131","PADRE BERNARDO",57,"11-10",1,0,15,14,28,1,1,1,1
"132","PADRE BERNARDO",55,"21-10",0.96,0.04,13,13,31,0.92,1,0.97,0.97
"133","PADRE BERNARDO",56,"01-11",0.98,0.02,14,13,30,1,1,0.97,0.98
"134","PADRE BERNARDO",57,"11-11",1,0,14,12,31,1,1,1,1
"135","PADRE BERNARDO",57,"21-11",1,0,12,14,31,1,1,1,1
"136","SANTO ANTONIO DA BARRA",57,"01-09",1,0,14,14,29,1,1,1,1
"137","SANTO ANTONIO DA BARRA",57,"11-09",1,0,14,13,30,1,1,1,1
"138","SANTO ANTONIO DA BARRA",57,"21-09",1,0,15,14,28,1,1,1,1
"139","SANTO ANTONIO DA BARRA",57,"01-10",1,0,12,16,29,1,1,1,1
"140","SANTO ANTONIO DA BARRA",57,"11-10",1,0,15,15,27,1,1,1,1
"141","SANTO ANTONIO DA BARRA",57,"21-10",1,0,14,13,30,1,1,1,1
"142","SANTO ANTONIO DA BARRA",57,"01-11",1,0,15,12,30,1,1,1,1
"143","SANTO ANTONIO DA BARRA",57,"11-11",1,0,13,14,30,1,1,1,1
"144","SANTO ANTONIO DA BARRA",57,"21-11",1,0,12,15,30,1,1,1,1
"145","SITIO DABADIA",55,"01-09",0.96,0.04,13,15,29,0.92,1,0.97,0.97
"146","SITIO DABADIA",54,"11-09",0.95,0.05,16,14,27,1,1,0.89,0.95
"147","SITIO DABADIA",52,"21-09",0.91,0.09,16,13,28,0.94,1,0.86,0.91
"148","SITIO DABADIA",50,"01-10",0.88,0.12,14,16,27,0.93,0.94,0.81,0.88
"149","SITIO DABADIA",50,"11-10",0.88,0.12,12,14,31,0.92,0.93,0.84,0.88
"150","SITIO DABADIA",50,"21-10",0.88,0.12,15,15,27,0.93,0.93,0.81,0.87
"151","SITIO DABADIA",50,"01-11",0.88,0.12,13,14,30,0.92,0.93,0.83,0.88
"152","SITIO DABADIA",50,"11-11",0.88,0.12,12,17,28,0.92,0.94,0.82,0.88
"153","SITIO DABADIA",50,"21-11",0.88,0.12,13,14,30,0.92,0.93,0.83,0.88
"154","SANTA HELENA DE GOIAS",56,"01-09",0.98,0.02,15,13,29,1,1,0.97,0.98
"155","SANTA HELENA DE GOIAS",56,"11-09",0.98,0.02,14,13,30,1,1,0.97,0.98
"156","SANTA HELENA DE GOIAS",55,"21-09",0.96,0.04,13,14,30,1,0.93,0.97,0.97
"157","SANTA HELENA DE GOIAS",55,"01-10",0.96,0.04,12,17,28,1,1,0.93,0.97
"158","SANTA HELENA DE GOIAS",55,"11-10",0.96,0.04,15,15,27,1,1,0.93,0.97
"159","SANTA HELENA DE GOIAS",55,"21-10",0.96,0.04,13,14,30,1,1,0.93,0.96
"160","SANTA HELENA DE GOIAS",55,"01-11",0.96,0.04,12,14,31,1,0.93,0.97,0.97
"161","SANTA HELENA DE GOIAS",56,"11-11",0.98,0.02,8,13,36,1,0.92,1,0.98
"162","SANTA HELENA DE GOIAS",56,"21-11",0.98,0.02,8,13,36,1,0.92,1,0.98
"163","ITAPACI",57,"01-09",1,0,14,13,30,1,1,1,1
"164","ITAPACI",57,"11-09",1,0,14,14,29,1,1,1,1
"165","ITAPACI",57,"21-09",1,0,13,17,27,1,1,1,1
"166","ITAPACI",57,"01-10",1,0,15,14,28,1,1,1,1
"167","ITAPACI",57,"11-10",1,0,13,13,31,1,1,1,1
"168","ITAPACI",57,"21-10",1,0,15,14,28,1,1,1,1
"169","ITAPACI",57,"01-11",1,0,12,14,31,1,1,1,1
"170","ITAPACI",57,"11-11",1,0,13,15,29,1,1,1,1
"171","ITAPACI",57,"21-11",1,0,14,13,30,1,1,1,1
